IDENTIFICADOR;VALOR1;VALOR2;VALOR3;VALOR4;VALOR5
71292209;DICIEMBRE.wav;INTERNET.wav;26259;NOVIEMBRE.wav;
71364692;DICIEMBRE.wav;INTERNET.wav;9849;NOVIEMBRE.wav;
71376931;DICIEMBRE.wav;INTERNET.wav;17390;NOVIEMBRE.wav;
71577404;DICIEMBRE.wav;DUO_TO_BA.wav;10935;NOVIEMBRE.wav;
71620919;DICIEMBRE.wav;INTERNET.wav;25548;NOVIEMBRE.wav;
43108318;DICIEMBRE.wav;DUO_TO_BA.wav;30967;NOVIEMBRE.wav;
43117546;DICIEMBRE.wav;TELEFONIA.wav;11752;NOVIEMBRE.wav;
43454247;DICIEMBRE.wav;VOZ PLUS.wav;24852;NOVIEMBRE.wav;
43606289;DICIEMBRE.wav;DUO_TO_BA.wav;19871;NOVIEMBRE.wav;
67019182;DICIEMBRE.wav;DUO_TO_BA.wav;36451;NOVIEMBRE.wav;
800029899;DICIEMBRE.wav;EQUIPOS.wav;11352;NOVIEMBRE.wav;
800046874;DICIEMBRE.wav;VOZ PLUS.wav;3155;NOVIEMBRE.wav;
800047433;DICIEMBRE.wav;INTERNET.wav;13548;NOVIEMBRE.wav;
800070229;DICIEMBRE.wav;DUO_TV_BA.wav;22097;NOVIEMBRE.wav;
800104439;DICIEMBRE.wav;TELEFONIA PBX.wav;233547;NOVIEMBRE.wav;
800108130;DICIEMBRE.wav;TRONCAL SIP.wav;17228;NOVIEMBRE.wav;
700223918;DICIEMBRE.wav;INTERNET.wav;89271;NOVIEMBRE.wav;
700229539;DICIEMBRE.wav;DUO_TO_BA.wav;19916;NOVIEMBRE.wav;
7181810;DICIEMBRE.wav;TELEVISION.wav;11842;NOVIEMBRE.wav;
811007233;DICIEMBRE.wav;TRONCAL SIP.wav;25755;NOVIEMBRE.wav;
811007991;DICIEMBRE.wav;SERV PRO Y SERV ADMIN.wav;76478;NOVIEMBRE.wav;
811008550;DICIEMBRE.wav;INTERNET.wav;90449;NOVIEMBRE.wav;
71704928;DICIEMBRE.wav;TELEFONIA.wav;1943;NOVIEMBRE.wav;
71716669;DICIEMBRE.wav;TRIO.wav;19289;NOVIEMBRE.wav;
71742650;DICIEMBRE.wav;VOZ PLUS.wav;130;NOVIEMBRE.wav;
79410910;DICIEMBRE.wav;DUO_TO_BA.wav;35208;NOVIEMBRE.wav;
800011924;DICIEMBRE.wav;EQUIPOS.wav;280942;NOVIEMBRE.wav;
800196524;DICIEMBRE.wav;VOZ PLUS.wav;130;NOVIEMBRE.wav;
80718445;DICIEMBRE.wav;TELEFONIA.wav;2357;NOVIEMBRE.wav;
800211401;DICIEMBRE.wav;COLLOCATION.wav;9502150;NOVIEMBRE.wav;
800226788;DICIEMBRE.wav;TRONCAL SIP.wav;38332;NOVIEMBRE.wav;
800250626;DICIEMBRE.wav;INTERNET.wav;37758;NOVIEMBRE.wav;
80129931;DICIEMBRE.wav;INTERNET.wav;20912;NOVIEMBRE.wav;
802020239;DICIEMBRE.wav;DUO_TV_BA.wav;1674;NOVIEMBRE.wav;
802021209;DICIEMBRE.wav;CYBER SECURITY.wav;210533;NOVIEMBRE.wav;
811000033;DICIEMBRE.wav;INTERNET.wav;57490;NOVIEMBRE.wav;
811002844;DICIEMBRE.wav;INTERNET.wav;91603;NOVIEMBRE.wav;
811030164;DICIEMBRE.wav;SERVICIOS CLOUD.wav;18540;NOVIEMBRE.wav;
811014457;DICIEMBRE.wav;MAIL HOSTING.wav;10287;NOVIEMBRE.wav;
811016574;DICIEMBRE.wav;INTERNET.wav;68981;NOVIEMBRE.wav;
811017289;DICIEMBRE.wav;DUO_TO_BA.wav;27097;NOVIEMBRE.wav;
811020256;DICIEMBRE.wav;TELEFONIA.wav;23168;NOVIEMBRE.wav;
811021765;DICIEMBRE.wav;INTERNET.wav;134831;NOVIEMBRE.wav;
811024440;DICIEMBRE.wav;DUO_TV_BA.wav;38500;NOVIEMBRE.wav;
811025199;DICIEMBRE.wav;INTERNET.wav;17506;NOVIEMBRE.wav;
811034332;DICIEMBRE.wav;TELEFONIA.wav;50595;NOVIEMBRE.wav;
811035035;DICIEMBRE.wav;INTERNET.wav;135543;NOVIEMBRE.wav;
890903995;DICIEMBRE.wav;INTERNET.wav;14439;NOVIEMBRE.wav;
860000656;DICIEMBRE.wav;INTERNET.wav;51635;NOVIEMBRE.wav;
860013771;DICIEMBRE.wav;TELEFONIA.wav;48508;NOVIEMBRE.wav;
860029964;DICIEMBRE.wav;DUO_TO_BA.wav;17095;NOVIEMBRE.wav;
860049921;DICIEMBRE.wav;TELEFONIA.wav;20301;NOVIEMBRE.wav;
860517277;DICIEMBRE.wav;OFFICE 365.wav;158719;NOVIEMBRE.wav;
890800303;DICIEMBRE.wav;TELEFONIA.wav;68392;NOVIEMBRE.wav;
890900372;DICIEMBRE.wav;DUO_TO_TV.wav;13695;NOVIEMBRE.wav;
890907370;DICIEMBRE.wav;TELEFONIA.wav;1890;NOVIEMBRE.wav;
811012912;DICIEMBRE.wav;INTERNET.wav;65840;NOVIEMBRE.wav;
890982273;DICIEMBRE.wav;TELEFONIA.wav;48883;NOVIEMBRE.wav;
830514210;DICIEMBRE.wav;INTERNET.wav;85412;NOVIEMBRE.wav;
890985350;DICIEMBRE.wav;EQUIPOS.wav;2897;NOVIEMBRE.wav;
891401416;DICIEMBRE.wav;CONECTIVIDAD.wav;19880;NOVIEMBRE.wav;
8235507;DICIEMBRE.wav;TELEVISION.wav;12461;NOVIEMBRE.wav;
8287051;DICIEMBRE.wav;TELEFONIA PBX.wav;32947;NOVIEMBRE.wav;
830041054;DICIEMBRE.wav;VOZ PLUS.wav;389;NOVIEMBRE.wav;
830058216;DICIEMBRE.wav;VOZ PLUS.wav;5735;NOVIEMBRE.wav;
830514385;DICIEMBRE.wav;EQUIPOS.wav;3714;NOVIEMBRE.wav;
